Raman Shift (cm⁻¹),Importância
2656.0,2.8937952869558808e-05
864.0,2.892062273978184e-05
550.0,2.890967430129611e-05
3091.0,2.8884964341866608e-05
557.0,2.8881618295170088e-05
2631.0,2.886011505285823e-05
2794.0,2.8837442576167346e-05
848.0,2.8810056048098055e-05
426.0,2.8799927792904332e-05
621.0,2.878599954361924e-05
869.0,2.8766318462367935e-05
425.0,2.8762058737642056e-05
865.0,2.8719192586003352e-05
828.0,2.8658728464157505e-05
1443.0,2.8652708918550358e-05
2634.0,2.864508272784509e-05
1732.0,2.8630122969137265e-05
1731.0,2.8603241551833982e-05
1733.0,2.8580995356883447e-05
866.0,2.857338017696043e-05
486.0,2.8568779079740253e-05
427.0,2.8566859900039016e-05
868.0,2.8555546902536137e-05
867.0,2.8507915517873687e-05
745.0,2.8471382867664326e-05
453.0,2.844690904707584e-05
1734.0,2.8442229456943568e-05
424.0,2.844120410010463e-05
1730.0,2.8424406347069414e-05
959.0,2.837929930278552e-05
921.0,2.8363821721636118e-05
1364.0,2.8303941899950806e-05
3053.0,2.8292658117448578e-05
1004.0,2.8278991936242207e-05
1336.0,2.8277657019056792e-05
150.0,2.827714833313366e-05
829.0,2.827227817520332e-05
558.0,2.8251755143632095e-05
1444.0,2.82380779580728e-05
2861.0,2.8219142567500857e-05
1442.0,2.8162411337540742e-05
549.0,2.815745710836077e-05
1735.0,2.8138099358542092e-05
3062.0,2.8093081157233816e-05
3418.0,2.806180215039619e-05
668.0,2.8041256561206963e-05
1256.0,2.8038817526636263e-05
1729.0,2.802273265006423e-05
428.0,2.8021623431304487e-05
3150.0,2.801746808795395e-05
1434.0,2.801595600719959e-05
3149.0,2.8009979224231387e-05
2901.0,2.7997989386202177e-05
3012.0,2.7941254038970164e-05
666.0,2.7923775441173824e-05
1106.0,2.7912905933294595e-05
1003.0,2.7857107090661938e-05
452.0,2.785381339441224e-05
1035.0,2.7831045634195592e-05
423.0,2.7768808969349837e-05
3073.0,2.772202509439215e-05
165.0,2.772015649865519e-05
1081.0,2.7710013768652977e-05
1856.0,2.7627485345650414e-05
830.0,2.761209124925256e-05
1736.0,2.7606324186973686e-05
3082.0,2.760601838451316e-05
559.0,2.755152037971615e-05
620.0,2.7540663990793216e-05
1275.0,2.753761277882138e-05
2882.0,2.753728206509123e-05
3063.0,2.7526693807215466e-05
1002.0,2.751716310005126e-05
667.0,2.7495193408617708e-05
451.0,2.7480680017463923e-05
1728.0,2.742105436911226e-05
2630.0,2.7417032369448046e-05
847.0,2.7320053128647924e-05
910.0,2.7299042393291125e-05
2883.0,2.7298742745401128e-05
2881.0,2.7290080117098856e-05
450.0,2.7286514690258962e-05
909.0,2.7285258966116384e-05
1855.0,2.7271488682007312e-05
1001.0,2.7262065990771977e-05
548.0,2.725978473943253e-05
348.0,2.7232086220720806e-05
449.0,2.7211186789898972e-05
3191.0,2.719333973257122e-05
1435.0,2.7190012999937487e-05
448.0,2.718873156164119e-05
447.0,2.7151505959211148e-05
1000.0,2.709482227495555e-05
1857.0,2.7078238328828617e-05
649.0,2.7067058275420605e-05
429.0,2.7057772296949708e-05
933.0,2.703017968286459e-05
446.0,2.7030124739321422e-05
1365.0,2.702625690976074e-05
