,count,mean,std,min,25%,50%,75%,max,var
210.0,1225.0,-0.01591682438825879,0.8748035198354104,-0.5259658193027933,-0.3564264208206458,-0.28908058681331134,-0.1797209046511916,3.031528341267101,0.7652811983164232
211.0,1225.0,-0.017637127259144392,0.8700457034398192,-0.5368235363114174,-0.35617116979274677,-0.28978134590204235,-0.1806182001253288,3.018389693848311,0.7569795260740899
212.0,1225.0,-0.019689780734457478,0.8640169443395529,-0.5222316588818086,-0.3557950885228308,-0.28983515051930264,-0.18348704984514339,2.9965977885479,0.7465252801058581
213.0,1225.0,-0.022118978182600155,0.8567595191140168,-0.49479974672180366,-0.3554467328882034,-0.29084012221694144,-0.18630475490401036,2.9666385016665724,0.7340368735924813
214.0,1225.0,-0.024991921389272954,0.8483833701918865,-0.5255591345861497,-0.3547325292060574,-0.28962510648244844,-0.18885047677733766,2.9372993153082945,0.7197543428181435
215.0,1225.0,-0.028380041553779465,0.8390317962873529,-0.5351529862388261,-0.35467876446289925,-0.2898924331060746,-0.19132613428327572,2.9063503613784207,0.7039743551811821
216.0,1225.0,-0.03232184609711195,0.8288424584804543,-0.5246179129230734,-0.35424034029510776,-0.29077827286250013,-0.1940509313188545,2.8678175346695984,0.6869798209799236
217.0,1225.0,-0.03679011937738024,0.8179169875122355,-0.520455787473674,-0.35336733902272865,-0.2914472006152887,-0.1981023807709365,2.8222782781700313,0.6689881984610904
218.0,1225.0,-0.041683574924248096,0.806306570925904,-0.5206777876748633,-0.35336048347212945,-0.2918346819437072,-0.20170709635815975,2.7710466738917257,0.6501302863182897
219.0,1225.0,-0.04684844469889395,0.7940200607523775,-0.528420010180895,-0.3531297533813169,-0.29273488796782837,-0.20417569114027062,2.715873923418897,0.6304678568772093
220.0,1225.0,-0.05212119112611333,0.7810523424888258,-0.5302256496877484,-0.3524892396831008,-0.2930677479854341,-0.2064304800814782,2.658620007542457,0.610042761707282
221.0,1225.0,-0.057377053792557586,0.7674189505377131,-0.5242256951086253,-0.3522692820925914,-0.2934720218602911,-0.20691356890614174,2.609115103692382,0.588931845644405
222.0,1225.0,-0.06256617875372601,0.7531800676450335,-0.5142154335130804,-0.352305533409399,-0.29312362286129484,-0.20784413560727866,2.561534847637552,0.5672802142977773
223.0,1225.0,-0.06772054150885325,0.7384452926309955,-0.5034752160812641,-0.3516152518343235,-0.2931090274545334,-0.20777894004281675,2.512291424563926,0.5453014502088765
224.0,1225.0,-0.07292596088286578,0.7233588334012234,-0.4936537539811264,-0.3511613757188338,-0.2936317624414832,-0.20901247319942556,2.460002444720531,0.5232480018595789
225.0,1225.0,-0.07827210743898506,0.7080699646883095,-0.4903398102480128,-0.3501650110378602,-0.2934838544011317,-0.21058625369891606,2.403830305788245,0.5013630748937039
226.0,1225.0,-0.08380733585131124,0.6926999894044324,-0.5144327823520585,-0.34974360661035075,-0.2937070462072562,-0.21262336223239836,2.3440130624723143,0.4798332753209008
227.0,1225.0,-0.08951737780899979,0.6773213815418467,-0.5267397364306275,-0.349101900275852,-0.29344333724927407,-0.21830656216355995,2.281829432324114,0.45876425389375597
228.0,1225.0,-0.09532617974971191,0.6619599429641997,-0.5220501206858276,-0.3484534078977416,-0.2933603475312652,-0.22377216875000064,2.2203378196728187,0.4381909660891665
229.0,1225.0,-0.10110400841439507,0.6466126924251925,-0.5168682871309016,-0.34810947481182186,-0.2930698262376716,-0.22467893263994582,2.1667540281240005,0.4181079740053566
230.0,1225.0,-0.1066789687744417,0.6312650569170556,-0.5218287811497446,-0.3477690835885034,-0.29332776142330647,-0.22439156640757965,2.1119746771191052,0.39849557208449343
231.0,1225.0,-0.11186515372971528,0.6159031954143128,-0.5226817522684448,-0.34853414570171193,-0.2931556042169153,-0.22428347226773634,2.054590960279889,0.37933674612156126
232.0,1225.0,-0.11651679509906704,0.6005315703196967,-0.5194318723889627,-0.34816016755000895,-0.29282488249640226,-0.22375036811602053,1.9933841180249676,0.3606381669506409
233.0,1225.0,-0.12058741907817704,0.5851956850345839,-0.5202481385292256,-0.34708219890930636,-0.2922910037217853,-0.2236599853230435,1.9280144470946292,0.34245398978309594
234.0,1225.0,-0.12415110415910723,0.5699915994395681,-0.5239660628649474,-0.3465695651383821,-0.2921149304420593,-0.22369340761582077,1.85940085896104,0.32489042343167707
235.0,1225.0,-0.12735964001946457,0.5550487078734476,-0.520767047579787,-0.34515487216664703,-0.29225955074898274,-0.22388634363191828,1.7896402847860948,0.30807906811198377
236.0,1225.0,-0.13035894975660386,0.5404982945532263,-0.5145583066207529,-0.3438441842566081,-0.2946171879210451,-0.22395705388714113,1.7264613512766624,0.2921384064149462
237.0,1225.0,-0.13321949196333263,0.5264505278910434,-0.5100429129471056,-0.3431932266095684,-0.3007175550795052,-0.2238121672748326,1.6699084869372751,0.2771501583167583
238.0,1225.0,-0.1359188122890602,0.5129874162663056,-0.5120527919967586,-0.3415560827875739,-0.3066401904974137,-0.22418870961780316,1.6169242036907663,0.26315608924757994
